,param_logreg__C,param_logreg__class_weight,param_logreg__max_iter,param_logreg__penalty,param_logreg__solver,param_logreg__tol,mean_test_score,std_test_score,name
5,0.0001,,100,,lbfgs,0.0001,0.7439814814814815,0.005530709797523673,no_smote_logreg
6,0.0001,,100,,lbfgs,0.001,0.7439814814814815,0.005530709797523673,no_smote_logreg
7,0.0001,,100,,lbfgs,0.01,0.7439814814814815,0.005530709797523673,no_smote_logreg
8,0.0001,,100,,lbfgs,0.1,0.7439814814814815,0.005530709797523673,no_smote_logreg
9,0.0001,,100,,lbfgs,1,0.7439814814814815,0.005530709797523673,no_smote_logreg
17,0.0001,,100,,newton-cholesky,0.01,0.7223063973063973,0.0033692385257804726,no_smote_logreg
20,0.0001,,100,,sag,0.0001,0.7435816498316499,0.005486333490912547,no_smote_logreg
21,0.0001,,100,,sag,0.001,0.743644781144781,0.0054789024957883495,no_smote_logreg
22,0.0001,,100,,sag,0.01,0.737773569023569,0.0049915895889707206,no_smote_logreg
23,0.0001,,100,,sag,0.1,0.7316498316498316,0.004391850645865737,no_smote_logreg
24,0.0001,,100,,sag,1,0.7155934343434343,0.002742157597518854,no_smote_logreg
25,0.0001,,100,,saga,0.0001,0.7424242424242424,0.004941927005815408,no_smote_logreg
26,0.0001,,100,,saga,0.001,0.7423190235690236,0.0049203738869044444,no_smote_logreg
27,0.0001,,100,,saga,0.01,0.7346801346801347,0.003866903872752775,no_smote_logreg
28,0.0001,,100,,saga,0.1,0.7275883838383839,0.0028599406176084896,no_smote_logreg
29,0.0001,,100,,saga,1,0.7143097643097642,0.0025802443811257757,no_smote_logreg
30,0.0001,,100,l2,liblinear,0.0001,0.6742003367003366,0.0030557700437653483,no_smote_logreg
31,0.0001,,100,l2,liblinear,0.001,0.6742424242424242,0.0030166816470604926,no_smote_logreg
32,0.0001,,100,l2,liblinear,0.01,0.6738846801346801,0.0028604051073310055,no_smote_logreg
33,0.0001,,100,l2,liblinear,0.1,0.6738846801346801,0.0028604051073310055,no_smote_logreg
34,0.0001,,100,l2,liblinear,1,0.6743686868686869,0.0031371456487515608,no_smote_logreg
35,0.0001,,100,l2,lbfgs,0.0001,0.6853324915824917,0.003018589406909282,no_smote_logreg
36,0.0001,,100,l2,lbfgs,0.001,0.6853324915824917,0.003018589406909282,no_smote_logreg
37,0.0001,,100,l2,lbfgs,0.01,0.6853324915824917,0.003018589406909282,no_smote_logreg
38,0.0001,,100,l2,lbfgs,0.1,0.6853324915824917,0.003018589406909282,no_smote_logreg
39,0.0001,,100,l2,lbfgs,1,0.6853324915824917,0.003018589406909282,no_smote_logreg
45,0.0001,,100,l2,newton-cholesky,0.0001,0.6669823232323233,0.003171960215726742,no_smote_logreg
46,0.0001,,100,l2,newton-cholesky,0.001,0.6669823232323233,0.003171960215726742,no_smote_logreg
47,0.0001,,100,l2,newton-cholesky,0.01,0.6669823232323233,0.003171960215726742,no_smote_logreg
48,0.0001,,100,l2,newton-cholesky,0.1,0.6694023569023569,0.0029090682577213867,no_smote_logreg
49,0.0001,,100,l2,newton-cholesky,1,0.6694023569023569,0.0029090682577213867,no_smote_logreg
50,0.0001,,100,l2,sag,0.0001,0.6849747474747475,0.0029967985048683404,no_smote_logreg
51,0.0001,,100,l2,sag,0.001,0.6849747474747475,0.0029967985048683404,no_smote_logreg
52,0.0001,,100,l2,sag,0.01,0.685479797979798,0.0028756911790723248,no_smote_logreg
53,0.0001,,100,l2,sag,0.1,0.685669191919192,0.0031443365805928613,no_smote_logreg
54,0.0001,,100,l2,sag,1,0.6876262626262626,0.002528231968488131,no_smote_logreg
55,0.0001,,100,l2,saga,0.0001,0.685206228956229,0.0031180307792820668,no_smote_logreg
56,0.0001,,100,l2,saga,0.001,0.685206228956229,0.0031180307792820668,no_smote_logreg
57,0.0001,,100,l2,saga,0.01,0.685395622895623,0.003018149261667898,no_smote_logreg
58,0.0001,,100,l2,saga,0.1,0.6892255892255893,0.003894291836134912,no_smote_logreg
59,0.0001,,100,l2,saga,1,0.6935185185185185,0.0029546833449841524,no_smote_logreg
60,0.0001,,100,l1,liblinear,0.0001,0.5432449494949495,0.0,no_smote_logreg
61,0.0001,,100,l1,liblinear,0.001,0.5432449494949495,0.0,no_smote_logreg
62,0.0001,,100,l1,liblinear,0.01,0.5432449494949495,0.0,no_smote_logreg
63,0.0001,,100,l1,liblinear,0.1,0.5432449494949495,0.0,no_smote_logreg
64,0.0001,,100,l1,liblinear,1,0.5432449494949495,0.0,no_smote_logreg
85,0.0001,,100,l1,saga,0.0001,0.5432449494949495,0.0,no_smote_logreg
86,0.0001,,100,l1,saga,0.001,0.5432449494949495,0.0,no_smote_logreg
87,0.0001,,100,l1,saga,0.01,0.5432449494949495,0.0,no_smote_logreg
88,0.0001,,100,l1,saga,0.1,0.5432449494949495,0.0,no_smote_logreg
89,0.0001,,100,l1,saga,1,0.5432449494949495,0.0,no_smote_logreg
125,0.0001,,1000,,lbfgs,0.0001,0.7441077441077442,0.004525634084092271,no_smote_logreg
126,0.0001,,1000,,lbfgs,0.001,0.7441077441077442,0.004525634084092271,no_smote_logreg
127,0.0001,,1000,,lbfgs,0.01,0.7441077441077442,0.004525634084092271,no_smote_logreg
128,0.0001,,1000,,lbfgs,0.1,0.7441077441077442,0.004525634084092271,no_smote_logreg
